,region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
20,Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100,50913,545,11.77,2016,439.49,79,144.95,1629,4.513003886177805,278,32812
21,Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950,55079.429856839626,425.73856024764314,5.65,4694,659.04,93,285.72821696069957,1175,6,171,78075
22,Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000,41715,193,4.47,3253,251.13,45.131083427931934,277.2214618187686,1884,2,187.69547550976944,16217
23,Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100,37360,311.52135132490076,6.5168189615434,1989,112.18,72,290.512461444948,2192,2,93,99033
24,Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,48253,107,5.37,4876,208.69,30,280.37,1567,5,159,51813
25,Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,44440,344,11.92,3618,488.0642836126517,77,223.84,1517,6,269,50175.33691712512
26,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760,57685,491,8.16,2542.7960522585777,496.7675984665443,49,67.58631342360343,1140,3,230,25518
27,Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500,55078.56697847293,348,8.72,524,72.94,59.35291075472619,217.17132038688072,1372,3,185,92281
28,Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200,44777,369,11.21,2530.3713787615743,370.5717722542838,91,246.61,1960,4.499091157032345,134,92966
29,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670,55082.94429518451,240,6.462762004888704,3522,338.11,32,133.33,1869,5,186.78260475284893,6276
30,Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,49278,330,6.459890171085493,306,40.39,87,263.64,1343,3,159,31821
31,Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,41226,515,6.432609196476233,4259,877.35,55.0434726541359,81.55,1546,7,147,50868
32,Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800,62894,321,6.5,2810.1350092251514,364.01,80,249.22,1750.9670796174375,5,186.20833739114826,83948
33,Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700,35728,437,10.21,4203.225667958293,703.57,29,38.6876488328694,1431,7,255,25427
34,Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100,71586,295,5.45,4559,537.96,75,254.24,1192,2,171,30167
35,Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900,47182,387.83254576680207,3.58,3493,500.2,56.97215780450709,173.18,1153,6,131,14346
36,Australia,Historical,EV stock share,Cars,EV,2017,percent,0.052000001072884,55082.82653016921,110,6.50501312653967,3448,151.71,91,827.27,1747.320379135301,6,251,8549
37,Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257,55078.909671294125,591,6.450831649082822,1808,427.41,61,37.98472073689064,2284,5,180,86308
38,Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40,55082.63712967216,536,4.61,1982.6797107287887,457.74,88,164.18,1615,3,108,11657
39,Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440,46786,386,8.21,504,77.82,52.682522799236246,150.26,1164,2,248,50175.32419269522
40,Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200,55080.825195338184,476,11.21,4933,939.24,56.695072056719695,115.55,1748.6082257350447,2,268,50175.15931032597
41,Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400,68928,154,6.99,3586,220.9,34,220.78,1148,3,81,64177
42,Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200,40850,331,6.475019927134274,716,94.8,57.40138324163451,220.48825802869302,1791,6,120,64297
43,Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800,50339,366.92248048922227,8.61,2538.70124240277,369.8333789245537,86,260.61,1634,4.487656252677298,187.06935383810102,75436
44,Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61,75217,141,3.81,1470,82.91,40,283.69,1740,6,241,85957
45,Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670,61926,475,1.32,2400,456,90,189.47,1966,5,186.26978153435846,70709
46,Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978,42010,198,5.68,3611,285.99,45.7483643217764,272.7555224693257,1746.4251460653998,7,159,26340
47,Australia,Historical,EV stock share,Cars,EV,2018,percent,0.076999999582768,37779,496,3.38,3018.4475173218834,583.89,72,145.16,2137,4.500269461182817,115,26221
48,Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700,55082.24596264887,225,6.521013061185987,4654,418.86,46,254.8741405249237,1661,3,288,21566
49,Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800,59820,374.94544111336825,10.43,1868,268.24,50,139.28,1243,4,128,88457
50,Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900,30381,410,11.57,1932.2128372416444,316.03,47,114.63,1091,4.496344834017996,251,50175.50008959891
51,Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600,75517,285,4.59,2865,326.61,54.18626825601336,240.68043344458738,2364,3,287,48799
52,Australia,Historical,EV stock share,Cars,EV,2019,percent,0.140000000596046,40674,497,2.93,235,46.72,72,144.87,1747.3532860034377,4.551958059481051,201,45354
53,Australia,Historical,EV sales share,Cars,EV,2019,percent,1.20000004768372,50543,425,3.49,1648,280.16,79,185.88,1840,4,187.00610997466345,45958
54,Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700,44842,552,2.51,1627,359.24,86,155.8,1129,5,187.3758711640512,60405
55,Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300,36934,424.8202601289041,6.488190739946275,2588,453.42,48,109.59,1746.7990861919454,4,187.98249370585333,50175.35083696848
56,Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000,55082.231724794714,197,6.523923203529965,4078,321.35,64,324.87,1337,5,280,21816
57,Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000,39063,532,5.65,4341.120049431011,831.84,61.01129264380006,118.42,1747.266336308205,6,281,62813
58,Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200,78827,361.8997757802543,6.462131661862075,1361.8689679172635,171.27,74,140.68,1376,3,273,81716
59,Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2300,55080.722984036045,106,9.61,2161,86.00890218298196,89,839.62,1847,7,202,50175.16712425482
60,Australia,Historical,EV sales share,Cars,EV,2020,percent,1.10000002384186,55294,393.3884642556597,2.32,2252.1339897261596,351.83,82,206.03,2021,3,186.72924172343878,34492
61,Australia,Historical,EV stock share,Cars,EV,2020,percent,0.180000007152557,67286,455,11.6,1120,203.84,25,54.95,1741,7,227,94136
62,Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000,77562,220,6.445925695456025,4052,415.7431219595262,32,145.45,1215,4.474713318205232,206,50174.71794720917
63,Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700,49289,572,6.88,241,55.14,80.21785691596163,122.87502226487341,1489,7,211,50175.27219490707
64,Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400,46039,328,6.65,3605,471.4239592721076,55,167.68,1748.258789943487,2,218,65160
65,Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000,55082.68455773739,517,11.08,2841.978687320867,579.04,64,123.79,2382,2,191,11676
66,Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44,77833,517,11.09,3667,758.34,97,187.62,2041,5,294,51813
67,Australia,Historical,EV stock share,Cars,EV,2021,percent,0.319999992847443,39358,485,6.87,2826.766828072323,539.51,44,90.72,1055,6,217,50175.4134705554
68,Australia,Historical,EV sales share,Cars,EV,2021,percent,2.79999995231628,34908,460,7.25,639,117.58,51.05749449875706,93.48,2086,4.549157909333759,93,10632
69,Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320,66088,128,6.484194709715185,3644,186.57,79,617.19,1751.7244790262032,5,132,97835
70,Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000,62955,335.6299624595904,2.11,1316,182.7708629690619,56,294.74,2348,2,223,50175.069951697194
71,Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000,32787,463,6.491634143985994,3817,706.91,59,127.43,1835,4,170,88179
72,Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000,73191,296,2.02,1839,198.19379694450708,53,179.05,1878,2,87,5389
73,Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44,41908,224,10.08,1624,145.51,90,401.79,1299,6,236,69399
74,Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15,54837,327,3.42,805,105.29,61,186.54,1288,4.510502257291736,186.63422567667686,6200
75,Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000,55954,525,6.42837079103054,3699,776.79,74,140.95,1848,4.478109709416823,188,81159
76,Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000,55078.87580790196,515,10.29,2547.4822580469217,532.62850755824,36,69.9,1270,4,91,89714
77,Australia,Historical,EV sales share,Cars,EV,2022,percent,5.09999990463257,41478,187,2.77,3802,284.39,64,342.25,2035,3,139,69215
78,Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100,77185,454,2.57,4269,775.25,73,160.79,1289,4,231,16017
79,Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000,37807,136,6.530030302734964,1564,85.08,99,727.94,1748.483754215283,2,214,91789
80,Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900,35272,262,6.496698443525643,2936,316.3318649922238,92,351.15,2105,6,113,77544
81,Australia,Historical,EV stock share,Cars,EV,2022,percent,0.589999973773956,39087,591,6.477466466600883,59,13.95,64.00900287176708,96.45,1746.795689179165,2,84,34177
82,Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470,55079.495814787006,194,11.06,3385.285390793778,324.68,36,185.57,2281,4.539106152913015,185,75083
83,Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100,31431,235.20631210700378,10.9,1030,58.92,42,293.71,1390,4,220,50175.50643492588
84,Australia,Historical,EV charging points,EV,Publicly available fast,2023,charging points,660,76745,358.1011526239896,2.41,2645,408.39,60,207.7958707462226,1988,6,132,43565
85,Australia,Historical,EV charging points,EV,Publicly available slow,2023,charging points,2100,63744,579,6.34547507731195,3136,726.3,21,36.27,1748.4364758978695,7,86,10732
86,Australia,Historical,EV stock share,Cars,EV,2023,percent,1.20000004768372,55079.59039482605,127,6.508657311887619,1761,89.46,80,629.92,1781,6,278,72522
87,Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000,55079.66858002337,212.04680381949333,6.85,3765,272.59,58,320.44,1984,5,286,73233
88,Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000,60289,424,7.35,2284,387.37,83,251.9310914478448,1095,3,272,97812
89,Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65,32631,556,4.61,1914,425.67,45,80.94,1366,4.519602730687044,282,69020
90,Australia,Historical,EV sales share,Cars,EV,2023,percent,12,46476,249,3.41,1174.3400959440241,28.19,91,365.46,1046,4,252,50175.32961538591
91,Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000,55078.78893223355,345,6.443113350281729,1708,235.7,28,81.16,2015,6,80,94486
92,Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000,55079.94216401011,368,4.71,1454,219.88976691657786,66,179.35,1417,5,231,75234
93,Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6,47561,554,4.33,4752,874.2027518255784,82,148.01,1141,2,193,70227
94,Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350,66635,274,1.19,3706,406.18,48.92675804027932,186.13,1381,5,252,96605
95,Austria,Historical,EV stock share,Cars,EV,2010,percent,0.00789999961853,42357,432,11.4,1101.7309002124866,208.22,74,171.3,1376,4,173,72678
96,Austria,Historical,EV stock share,Cars,EV,2011,percent,0.021999999880791,64589,435,10.2,1715,298.41,66.80971916811063,209.2,1711,5,186.0439681600524,61985
97,Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.100000001490116,52279,363,6.86,1280,188.68858995220455,85,234.16,1747.812167805721,4,228,23990
98,Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.100000001490116,30440,287,9.19,2976,341.64,56,195.12,2230,3,250,99293
99,Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990,75596,396,6.14,3558,540.0002700804334,68,171.72,1487,4,203,64873
100,Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400,76093,563,6.91,1312,295.46,70,91.5383753120233,2146,3,185.2389512064636,26602
101,Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140,52609,223.86308200070627,7.6,1197,96.72,95,470.3,1754,3,244,64991
102,Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.100000001490116,51481,338,2.04,2414.2519716472543,321.91,40,118.34,1965,7,291,90532
103,Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.100000001490116,72024,461.71257853100144,6.79,3532,614.57,53.74218387426685,101.15,2466,7,250,70370
104,Austria,Historical,EV stock share,Cars,EV,2012,percent,0.032999999821186,61993,594,4.94,4623,1098.42,59,99.33,1747,5,119,59486
105,Austria,Historical,EV stock share,Cars,EV,2013,percent,0.052999999374151,57408,417,3.16,2294,382.64,95,298.7893134955085,2139,5,120,50462
106,Austria,Historical,EV sales share,Cars,EV,2013,percent,0.200000002980232,56945,371,2.74,4124,612,85,229.11,1749.930851818924,5,207,78641
107,Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.100000001490116,72924,295,5.84,4268,503.62,61,259.60897046332434,1752.4988406731213,5,154,99519
108,Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.100000001490116,55082.504059309445,364,2.5,4135,602.06,83,228.02,2014,3,186.81226185160494,15605
109,Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410,47546,286,8.48,3864,465.5765846557258,47,211.23049841906357,1749.0971949156217,7,261,84809
110,Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100,42250,447,3.4,3207,573.41,66,147.65,1557,7,199,56591
111,Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650,32505,112,4.16,1372,61.47,80,714.29,1559,5,86,5977
112,Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700,55080.86570442277,192,2.01,99,7.6,86,435.98111343615835,1067,7,145,45591
113,Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400,42213,504,6.515151919692092,2649,534.04,39,77.38,1749.1117794605248,6,262,98576
114,Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6,42344,505,6.473837362284499,1743,352.09,58,114.85,1278,6,89,92701
115,Austria,Historical,EV stock,Cars,FCEV,2014,Vehicles,3,55080.72853745066,548,2.23,2074.747308534817,492.98,53,96.72,2027,6,215,50175.20303460122
116,Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780,55079.52246167188,335,5.4,2277,305.12,32,95.52,1867,7,271,74340
117,Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0.100000001490116,55078.34057311361,176,9.52,2632,185.29,21,119.32,1955,6,238,98404
118,Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0.100000001490116,56810,470,7.36,2078,390.66,73,155.32,1862,3,186.60830924511433,84908
119,Austria,Historical,EV sales share,Cars,EV,2014,percent,0.569999992847443,60079,409,1.6,3550.815937780127,575.71,45,110.02,2231,2,284,4644
120,Austria,Historical,EV stock share,Cars,EV,2014,percent,0.089000001549721,55079.02505554525,276.9519819880918,4.93,567,53.98,94,394.96,1926,2,245,83001
121,Austria,Historical,EV stock share,Cars,EV,2015,percent,0.140000000596046,30681,497.6922868302906,3.04,3467.3050076936247,656.08,54,120.27,1124,4.467394647946082,188.37649867471413,68012
122,Austria,Historical,EV sales share,Cars,EV,2015,percent,0.899999976158142,47588,298,4.53,3311,394.67,35,117.45,2345,4,221,90162
123,Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.100000001490116,56328,211,11.78,1893,159.77,80,379.15,1153,4,278,69996
124,Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.100000001490116,55080.652772438545,248,10.38,581,57.64,39,157.26,1749.1507176465318,3,219,50175.21617826879
125,Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,1500,55081.177498591176,272,10.47,1708,185.83,52.451720356709785,245.9651676216094,1748.66968656068,4,144,40562
126,Austria,Historical,EV stock,Cars,FCEV,2015,Vehicles,6,48210,581,4.53,3393,788.53,22,37.87,1748.1858255939896,3,187.23526877503883,55326
127,Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4,30526,540,4.69,2837,612.79,85,157.41,2347,4.518533740063682,230,95
128,Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100,62763,236,10.04,2985,281.78,29,122.88,1748.6135016044943,4,239,18187
129,Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000,44655,181,7.54,2812.0021513701104,220.89,69,381.22,1203,7,188,89996
130,Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700,54383,435,4.36,1632.7791802758406,303.98,56.70328271766857,140.23,2295,2,147,60370
131,Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800,31271,535,6.478372423129036,60,12.84,52,97.2,1789,5,92,3718
132,Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100,55081.49407871207,260,10.29,2746,285.63456734042666,78,300,1748.3578550119641,2,75,35500
133,Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200,54823,537,7.49,4953,1063.9,47,87.52,1193,2,122,73139
134,Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,13,41500,394,8.44,4820,711.5932662082507,81,205.58,2444,5,209,88993
135,Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300,55081.08619989167,462,4.08,2381,440.01,67,145.02,1759,4.495592224856685,131,42984
136,Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.100000001490116,32105,150,6.480972943598568,311,18.66,70,466.67,1598,7,166,28861
137,Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.100000001490116,63008,474.843328124951,2.16,3572,684.4,73,152.4,2475,7,155,62784
138,Austria,Historical,EV sales share,Cars,EV,2016,percent,1.5,79442,150,4.92,2329,139.74,86,464.56021528930387,1165,4,212,23064
139,Austria,Historical,EV stock share,Cars,EV,2016,percent,0.239999994635582,55080.72566499129,281.18023937881156,4.47,2474,249.38,95,376.98,1667,7,142,50175.199898237224
140,Austria,Historical,EV stock share,Cars,EV,2017,percent,0.379999995231628,48980,514,6.440406672651204,3447,708.7,92,178.99,1133,6,103,99177
141,Austria,Historical,EV sales share,Cars,EV,2017,percent,2,50559,275,6.424949496952407,3376,371.36,96,349.09,1987,2,81,10282
142,Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.100000001490116,53742,314.1978942579828,10.36,1466.7716277281547,143.4,27,70.5,1749.2355447132118,2,248,60028
143,Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.100000001490116,55078.509458473665,253,5.75,2463,249.26,52,205.53,1963,4.517299488159337,135,94874
144,Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900,53050,186,5.95,482,35.86,89,478.49,1748.5009296873807,4.480976892519082,80,38266
145,Austria,Historical,EV stock,Cars,FCEV,2017,Vehicles,19,42047,585,6.446767553641238,2680,627.12,91,155.56,1715,7,219,11243
146,Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2,50971,140,3.47,2712.478487808241,164.64,57,362.8728845766134,1748.4125666540826,3,130,50175.25487570983
147,Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700,78314,394,5.03,172.42949799301005,23.64,67,170.05,1383,4,77,74796
148,Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000,79531,323,5.69,3027,391.09,51,157.89,1288,4.48234376257451,198,72525
149,Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400,59615,304,6.442257810284661,1477,158.8787717372744,54,231.35123961741058,1320,5,153,30527
150,Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800,55079.67317522705,435.0024705080051,9.94,595,140.66,46.56887778540119,76.14,2289,3,187,70414
151,Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000,55083.15258250543,295,11,4868,574.42,87,358.471071344317,2083,5,123,4500
152,Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300,72307,489,3.54,1508,366.40277833247194,69.6401644649727,194.27,1331,4.4794433870728065,132,40646
153,Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7,61117,275,6.476083404203179,1041.1625582363376,37.07,31,112.73,2408,7,269,35244
154,Austria,Historical,EV stock,Cars,FCEV,2018,Vehicles,24,55079.94284261686,591,4.12,2552.3470511758865,614.0337300999133,43,72.76,1431,6,284,65977
155,Austria,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700,79691,206,2.58,3926,323.5,71,344.66,1751.836275823133,5,179,57491
156,Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.100000001490116,55079.131413042196,351,10.43,3016,423.45,36.80488677635217,59.83,1585,3,237,82740
157,Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.100000001490116,41908,338,10.77,1722,232.81,21,62.13,1877,2,187.6169736781998,81716
158,Austria,Historical,EV sales share,Cars,EV,2018,percent,2.59999990463257,40293,406,8.17,1112,180.59,38,88.81863220028333,2299,4.56074081654632,263,13392
159,Austria,Historical,EV stock share,Cars,EV,2018,percent,0.529999971389771,55080.69288676402,328.70038673201435,9.38,1662,180.83,49,180.15,1021,7,87,50175.206285469365
160,Austria,Historical,EV stock share,Cars,EV,2019,percent,0.75,39346,251,9.49,2518.335655222107,242.69455069196488,53.79574006780735,243.03,1404,4.474338980039491,164,15238
161,Austria,Historical,EV sales share,Cars,EV,2019,percent,3.5,31594,174,1.41,1812,126.12,63,361.8784373953177,1746.2831951091707,4,188.31808305785555,50175.530651270215
162,Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.100000001490116,64152,190,3.84,4188,318.29,81,426.32,1374,6,149,73668
163,Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.100000001490116,79559,206,6.424149075166316,1421.2285540856342,24.88,62,300.97,1704,2,197,29561
164,Austria,Historical,EV stock,Cars,PHEV,2019,Vehicles,8000,43602,497,3.96,928,292.88593049158465,37,74.45,2149,2,112,64165
165,Austria,Historical,EV stock,Cars,FCEV,2019,Vehicles,41,60139,456,11.29,2941,536.44,97,281.06602526439457,1764,2,121,72968
166,Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19,72447,168,5.82,2930,196.9,49,291.67,1548,6,256,50174.9553955425
167,Austria,Historical,EV stock,Cars,BEV,2019,Vehicles,30000,74902,325.0543584587241,6.34815744211591,3267,469.14,44,169.97072823412833,2171,7,75,12396
168,Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300,31976,537,10.42,4681,1005.48,43,80.07,1745.6294371407844,3,243,40716
169,Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200,71033,367.9279096403174,7.61,2467,364.31137513570525,24,77.67,2361,3,211,86048
170,Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600,55079.75234205402,488,10.22,3584,699.6,53.05875766883798,84.02,1749.5133849290698,2,210,71184
171,Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000,55078.37696019153,201,3.51,664,53.39,44,218.91,2163,5,249,97231
172,Austria,Historical,EV stock,Cars,BEV,2020,Vehicles,45000,38551,150,1.16,1906,56.021703573360014,63.1970104556121,373.33,1055,6,123,85747
173,Austria,Historical,EV sales,Cars,FCEV,2020,Vehicles,14,74039,524.1871788177004,8.94,3861.6874918868816,744.84,90,204.14040983688756,1861,5,242,32482
174,Austria,Historical,EV stock,Cars,FCEV,2020,Vehicles,45,52533,268,7.17,2938,319.088945331554,74,276.12,1903,3,186.93692747147082,43925
175,Austria,Historical,EV stock,Cars,PHEV,2020,Vehicles,15000,63210,591,10.3,1718,497.6748677859216,99,167.51,1269,4,209,67818
176,Austria,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0.100000001490116,50007,304,10.88,2976.2896446944333,373.56,47,154.61,2316,4.546921782384489,246,42534
177,Austria,Historical,EV charging points,EV,Publicly available slow,2020,charging points,0.100000001490116,54449,140,6.42,2435,136.36,52,371.43,2387,4.516177882051942,131,56724
